Surabaya,30.0,Rain, Partially cloudy
Bandung,22.7,Rain, Overcast
jakarta,22.7,Rain
Medan,28.0,Rain, Partially cloudy
Yogyakarta,25.1,Rain, Overcast
banjarmasin,25.0,Rain, Partially cloudy
banjarmasin,25.0,Rain, Partially cloudy
surakarta,26.7,Rain, Overcast
jelapat 1,29.6,Clear
jakarta,29.6,Clear
kelayan,32.0,Rain, Partially cloudy
jakarta,32.0,Rain, Partially cloudy
sulawesi,8.6,Partially cloudy
belitung,27.1,Rain, Overcast
alalak,30.0,Partially cloudy
Bandung,25.3,Rain, Partially cloudy
yogyakarta,30.9,Rain, Overcast
Medan,28.0,Rain, Partially cloudy
Surabaya,31.68°C,light rain
banjarmasin,30.08°C,overcast clouds
jakarta,30.55°C,moderate rain
jelapat,31.5,Rain, Partially cloudy
kelayan,30.0,Partially cloudy
